AssetID,MachineID,AssetName,AssetType,Location,Manufacturer,ModelNumber,InstallDate,Capacity,MaintenanceInterval,Criticality,Status,Timestamp
1,MCH001,Asset_MCH001,Machine,Zone C,KraussMaffei,IRB-6700,23-08-2020,510,60,Low,Active,01:46.7
2,MCH002,Asset_MCH002,Sensor,Zone C,ABB,NLX-2500,20-12-2021,435,60,High,Active,01:46.7
3,MCH003,Asset_MCH003,Sensor,Zone D,KraussMaffei,IMM-450,03-03-2022,802,60,Medium,Active,01:46.7
4,MCH004,Asset_MCH004,Machine,Zone B,KraussMaffei,IMM-450,16-07-2020,310,60,Medium,Active,01:46.7
5,MCH005,Asset_MCH005,Sensor,Zone D,DMG Mori,S7-1500,09-08-2021,691,45,Low,Active,01:46.7
6,MCH006,Asset_MCH006,Sensor,Zone A,Fanuc,S7-1500,30-04-2022,538,30,High,Active,01:46.7
7,MCH007,Asset_MCH007,Robot,Zone B,Fanuc,IRB-6700,10-05-2023,290,30,High,Active,01:46.8
8,MCH008,Asset_MCH008,Robot,Zone D,Siemens,LR Mate 200iD,19-06-2024,592,45,High,Active,01:46.8
9,MCH009,Asset_MCH009,Conveyor,Zone B,KraussMaffei,NLX-2500,04-05-2023,628,30,Medium,Active,01:46.8
10,MCH010,Asset_MCH010,Robot,Zone D,ABB,LR Mate 200iD,21-03-2024,630,30,Medium,Active,01:46.8
